Timestamp,Asal daerah Ibu/Bunda ,Seberapa sering Ibu/Bunda membeli kerudung baru? ,Biasanya Ibu/Bunda membeli kerudung di mana? ,"Saat membeli kerudung, hal apa yang paling penting bagi Ibu/Bunda?",Masalah apa yang paling sering Ibu/Bunda rasakan saat memakai kerudung? ,Apakah Ibu/Bunda pernah merasa kurang nyaman karena kerudung terasa bau atau tidak segar? ,"Jika ada kerudung dengan aroma wangi lembut dan segar, apakah Ibu/Bunda tertarik? ","Menurut Ibu/Bunda, manfaat utama kerudung wangi adalah apa? ",Aroma seperti apa yang paling Ibu/Bunda sukai untuk kerudung? ,Kekhawatiran terbesar Ibu/Bunda terhadap kerudung wangi adalah apa? ,Biasanya Ibu/Bunda membeli kerudung dengan harga berapa? ,"Jika kerudung wangi dijual dengan kualitas bahan yang nyaman, berapa harga yang masih cocok menurut Ibu/Bunda? ","Jika produk ini tersedia, seberapa besar kemungkinan Ibu/Bunda ingin mencoba membelinya? "
26/04/2026 18:09:43,Banten,4–6 bulan sekali,Online shop,Bahan adem dan nyaman,Kerudung terasa bau setelah dipakai lama,Sering,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:11:14,Jawa Barat,Hanya saat perlu saja,Online shop,Harga terjangkau,Tidak ada masalah,Jarang,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya cepat hilang,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Kurang mungkin
26/04/2026 18:11:58,Jawa Barat,Sebulan sekali,Shopee / Tokopedia / TikTok Shop,Bahan adem dan nyaman,Kerudung mudah lepek,Jarang,Biasa saja,Cocok dipakai untuk acara tertentu,Aroma bedak bayi,Tidak ada kekhawatiran,Rp200.000 – Rp300.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:13:24,Jawa Barat,2–3 bulan sekali,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Susah dibentuk",Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:13:27,Jawa Barat,2–3 bulan sekali,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut","Terasa gerah / panas, Susah dibentuk",Jarang,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma bunga lembut,Takut harganya mahal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:19:42,Banten,Sebulan sekali,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman",Terasa gerah / panas,Kadang-kadang,Sangat tertarik,Membuat kerudung terasa lebih segar,Aroma bedak bayi,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:21:16,Jawa Barat,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Susah dibentuk",Kadang-kadang,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut harganya mahal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:26:53,Banten,Hanya saat perlu saja,Shopee / Tokopedia / TikTok Shop,"Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus",Tidak ada masalah,Kadang-kadang,Biasa saja,Membuat kerudung terasa lebih segar,Aroma sabun bersih,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:35:43,Jawa Tengah,Hanya saat perlu saja,"Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Bahan adem dan nyaman, Warna / model bagus, Tidak mudah kusut, Wangi / terasa segar",Terasa gerah / panas,Tidak pernah,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut wanginya cepat hilang,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:41:07,Jawa Barat,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Mudah dibentuk","Kerudung terasa bau setelah dipakai lama, Susah dibentuk",Kadang-kadang,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma herbal / natural,Takut harganya mahal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Kurang mungkin
26/04/2026 18:43:51,Jawa Barat,4–6 bulan sekali,Shopee / Tokopedia / TikTok Shop,Warna / model bagus,Susah dibentuk,Kadang-kadang,Sangat tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma herbal / natural,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 18:48:38,Jawa Barat,Hanya saat perlu saja,Shopee / Tokopedia / TikTok Shop,"Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk","Terasa gerah / panas, Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Jarang,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:50:18,Jawa Tengah,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Bahan adem dan nyaman, Mudah dibentuk","Terasa gerah / panas, Kerudung mudah kusut",Kadang-kadang,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Tidak ada kekhawatiran,Rp100.000 – Rp200.000,Rp200.000 – Rp300.000,Mungkin
26/04/2026 18:51:12,Jawa Barat,2–3 bulan sekali,Lewat teman / reseller / WhatsApp,Warna / model bagus,Tidak ada masalah,Tidak pernah,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma bunga lembut,Takut harganya mahal,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 18:52:14,Jawa Barat,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Bahan adem dan nyaman, Warna / model bagus",Susah dibentuk,Kadang-kadang,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut membuat pusing,Rp200.000 – Rp300.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 19:00:06,Jawa Barat,2–3 bulan sekali,"Online shop, Lewat teman / reseller / WhatsApp","Warna / model bagus, Tidak mudah kusut",Tidak ada masalah,Tidak pernah,Tertarik,Tidak merasa ada manfaat khusus,Tidak suka kerudung beraroma,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 19:03:09,Bali,Sebulan sekali,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Kerudung mudah kusut, Susah dibentuk",Kadang-kadang,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,vanila,Takut wanginya cepat hilang,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 19:09:14,Jawa Barat,2–3 bulan sekali,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut",Susah dibentuk,Jarang,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 19:11:24,Jawa Tengah,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Susah dibentuk",Jarang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp200.000 – Rp300.000,Mungkin
26/04/2026 19:17:46,Banten,2–3 bulan sekali,Shopee / Tokopedia / TikTok Shop,"Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Kadang-kadang,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Tidak ada kekhawatiran,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 19:17:53,Banten,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Bahan adem dan nyaman, Mudah dibentuk",Susah dibentuk,Jarang,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma sabun bersih,Takut wanginya cepat hilang,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 19:22:00,Jawa Barat,Sebulan sekali,Shopee / Tokopedia / TikTok Shop,Harga terjangkau,Tidak ada masalah,Sering,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 19:22:25,Jawa Barat,4–6 bulan sekali,Online shop,"Bahan adem dan nyaman, Warna / model bagus, Tidak mudah kusut","Terasa gerah / panas, Susah dibentuk",Sering,Tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma sabun bersih,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 19:23:14,Banten,2–3 bulan sekali,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Kerudung terasa bau setelah dipakai lama, Kerudung mudah kusut",Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 19:26:19,Jawa Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Susah dibentuk,Jarang,Biasa saja,Tidak merasa ada manfaat khusus,Aroma sabun bersih,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 19:27:58,Jawa Tengah,2–3 bulan sekali,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Bahan adem dan nyaman, Mudah dibentuk","Kerudung mudah kusut, Susah dibentuk",Kadang-kadang,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 19:33:03,Jawa Timur,Sebulan sekali,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman","Kerudung mudah kusut, Susah dibentuk",Jarang,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 19:38:33,Jawa Tengah,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Bahan adem dan nyaman, Warna / model bagus, Tidak mudah kusut","Terasa gerah / panas, Kerudung mudah kusut, Susah dibentuk",Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma buah segar,Tidak ada kekhawatiran,Rp100.000 – Rp200.000,Rp200.000 – Rp300.000,Mungkin
26/04/2026 19:49:32,Jawa Barat,4–6 bulan sekali,Shopee / Tokopedia / TikTok Shop,"Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar",Terasa gerah / panas,Jarang,Sangat tertarik,Membuat lebih percaya diri,Aroma sabun bersih,Takut harganya mahal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 19:53:06,Jawa Barat,2–3 bulan sekali,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Bahan adem dan nyaman, Warna / model bagus",Tidak ada masalah,Kadang-kadang,Sangat tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma bunga lembut,Takut wanginya terlalu menyengat,Di atas Rp300.000,Di atas Rp300.000,Mungkin
26/04/2026 19:55:36,Banten,4–6 bulan sekali,Shopee / Tokopedia / TikTok Shop,"Bahan adem dan nyaman, Mudah dibentuk","Kerudung mudah kusut, Susah dibentuk",Kadang-kadang,Sangat tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut wanginya cepat hilang,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 19:55:44,Jawa Barat,4–6 bulan sekali,"Toko kerudung / toko baju muslim, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Jarang,Tertarik,Membuat kerudung terasa lebih segar,Aroma sabun bersih,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 19:57:43,Jawa Barat,Hanya saat perlu saja,Online shop,Harga terjangkau,Susah dibentuk,Tidak pernah,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Tidak ada kekhawatiran,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 20:03:37,Aceh,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah kusut",Sering,Sangat tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 20:04:48,Lampung,2–3 bulan sekali,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Tidak mudah kusut","Kerudung terasa bau setelah dipakai lama, Kerudung mudah kusut, Susah dibentuk",Kadang-kadang,Sangat tertarik,Membuat lebih percaya diri,Aroma bedak bayi,Takut wanginya cepat hilang,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 20:06:52,Sumatera Barat,Hanya saat perlu saja,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Tidak ada masalah,Tidak pernah,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 20:08:27,Jawa Barat,2–3 bulan sekali,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Susah dibentuk",Jarang,Tertarik,Cocok dipakai untuk acara tertentu,Aroma bunga lembut,Takut harganya mahal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 20:09:24,Jawa Tengah,Hanya saat perlu saja,"Online shop, Shopee / Tokopedia / TikTok Shop","Bahan adem dan nyaman, Mudah dibentuk","Kerudung mudah lepek, Kerudung mudah kusut",Jarang,Sangat tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut membuat gatal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 20:12:06,Sumatera Utara,Sebulan sekali,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Susah dibentuk",Sering,Sangat tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Aroma herbal / natural,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 20:13:24,Sumatera Utara,Hanya saat perlu saja,Shopee / Tokopedia / TikTok Shop,Bahan adem dan nyaman,Susah dibentuk,Tidak pernah,Tertarik,Membuat kerudung terasa lebih segar,Aroma buah segar,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 20:19:56,Sumatera Utara,Sebulan sekali,Online shop,"Harga terjangkau, Bahan adem dan nyaman","Kerudung terasa bau setelah dipakai lama, Kerudung mudah kusut",Kadang-kadang,Sangat tertarik,Membuat lebih percaya diri,Aroma herbal / natural,Takut membuat gatal,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Kurang mungkin
26/04/2026 20:21:13,Sumatera Utara,Sebulan sekali,Online shop,Bahan adem dan nyaman,"Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Sering,Sangat tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 20:28:01,Aceh,Hanya saat perlu saja,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Susah dibentuk,Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 20:37:01,Jawa Barat,2–3 bulan sekali,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,"Terasa gerah / panas, Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Sering,Sangat tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut membuat gatal,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 20:43:18,Jawa Barat,2–3 bulan sekali,"Toko kerudung / toko baju muslim, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut","Terasa gerah / panas, Kerudung mudah lepek, Susah dibentuk",Kadang-kadang,Sangat tertarik,Membantu mengurangi rasa bau setelah dipakai lama,Tidak suka kerudung beraroma,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Ragu-ragu
26/04/2026 20:48:05,Jawa Barat,2–3 bulan sekali,"Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Warna / model bagus",Tidak ada masalah,Jarang,Biasa saja,Membuat kerudung terasa lebih segar,Aroma sabun bersih,Takut membuat pusing,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 20:58:37,Jawa Barat,2–3 bulan sekali,Online shop,Bahan adem dan nyaman,Kerudung mudah kusut,Jarang,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 21:00:28,Jawa Barat,Hanya saat perlu saja,"Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Susah dibentuk",Kadang-kadang,Tertarik,Membuat lebih percaya diri,Aroma bedak bayi,Takut harganya mahal,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 21:04:34,DKI Jakarta,Hanya saat perlu saja,Shopee / Tokopedia / TikTok Shop,"Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Wangi / terasa segar",Kerudung terasa bau setelah dipakai lama,Kadang-kadang,Sangat tertarik,Membuat lebih percaya diri,Aroma sabun bersih,Takut membuat gatal,Rp100.000 – Rp200.000,Rp100.000 – Rp200.000,Sangat mungkin
26/04/2026 21:11:58,DKI Jakarta,Hanya saat perlu saja,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop","Harga terjangkau, Bahan adem dan nyaman, Warna / model bagus, Mudah dibentuk, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah lepek, Kerudung mudah kusut, Susah dibentuk",Sering,Tertarik,Membuat lebih percaya diri,Aroma buah segar,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 21:36:54,Jawa Barat,4–6 bulan sekali,"Toko kerudung / toko baju muslim, Online shop, Shopee / Tokopedia / TikTok Shop, Lewat teman / reseller / WhatsApp","Harga terjangkau, Bahan adem dan nyaman, Tidak mudah kusut, Wangi / terasa segar","Terasa gerah / panas, Kerudung terasa bau setelah dipakai lama, Kerudung mudah kusut, Susah dibentuk",Kadang-kadang,Tertarik,Membuat kerudung terasa lebih segar,Aroma buah segar,Takut wanginya terlalu menyengat,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 21:50:55,DKI Jakarta,Hanya saat perlu saja,Toko kerudung / toko baju muslim,Bahan adem dan nyaman,Tidak ada masalah,Tidak pernah,Tertarik,Tidak merasa ada manfaat khusus,Tidak suka kerudung beraroma,Takut membuat pusing,Rp50.000 – Rp100.000,Rp100.000 – Rp200.000,Mungkin
26/04/2026 21:56:06,Jawa Barat,4–6 bulan sekali,"Toko kerudung / toko baju muslim, Online shop, Lewat teman / reseller / WhatsApp","Bahan adem dan nyaman, Mudah dibentuk",Susah dibentuk,Jarang,Tertarik,Membuat kerudung terasa lebih segar,Aroma bunga lembut,Takut wanginya cepat hilang,Rp200.000 – Rp300.000,Rp200.000 – Rp300.000,Mungkin
